timestamp,source_ip,type,bytes,packet_number
2025-07-10T10:40:50.766Z,141.23.28.210,·······AP···,1491,1
2025-07-10T10:40:50.770Z,141.23.28.212,·······AP···,118,2
2025-07-10T10:40:50.770Z,141.23.28.210,·······A····,66,3
2025-07-10T10:40:50.770Z,141.23.28.210,·······AP···,105,4
2025-07-10T10:40:50.782Z,141.23.28.212,·······AP···,124,5
2025-07-10T10:40:50.782Z,141.23.28.210,·······A····,66,6
2025-07-10T10:40:50.782Z,141.23.28.210,·······AP···,118,7
2025-07-10T10:40:50.783Z,141.23.28.212,·······AP···,105,8
2025-07-10T10:40:50.783Z,141.23.28.210,·······A····,66,9
2025-07-10T10:40:51.497Z,141.23.28.210,·······A····,1514,10
2025-07-10T10:40:51.497Z,141.23.28.210,·······AP···,411,11
2025-07-10T10:40:51.500Z,141.23.28.212,·······A····,66,12
2025-07-10T10:40:51.504Z,141.23.28.212,·······AP···,118,13
2025-07-10T10:40:51.504Z,141.23.28.210,·······A····,66,14
2025-07-10T10:40:51.504Z,141.23.28.210,·······AP···,105,15
2025-07-10T10:40:51.516Z,141.23.28.212,·······AP···,124,16
2025-07-10T10:40:51.516Z,141.23.28.210,·······A····,66,17
2025-07-10T10:40:51.516Z,141.23.28.210,·······AP···,118,18
2025-07-10T10:40:51.517Z,141.23.28.212,·······AP···,105,19
2025-07-10T10:40:51.517Z,141.23.28.210,·······A····,66,20
2025-07-10T10:40:52.938Z,141.23.28.210,·······A····,1514,21
2025-07-10T10:40:52.938Z,141.23.28.210,·······AP···,1114,22
2025-07-10T10:40:52.941Z,141.23.28.212,·······A····,66,23
2025-07-10T10:40:52.944Z,141.23.28.212,·······AP···,118,24
2025-07-10T10:40:52.944Z,141.23.28.210,·······A····,66,25
2025-07-10T10:40:52.944Z,141.23.28.210,·······AP···,105,26
2025-07-10T10:40:52.957Z,141.23.28.212,·······AP···,124,27
2025-07-10T10:40:52.957Z,141.23.28.210,·······A····,66,28
2025-07-10T10:40:52.958Z,141.23.28.210,·······AP···,118,29
2025-07-10T10:40:52.958Z,141.23.28.212,·······AP···,105,30
2025-07-10T10:40:52.958Z,141.23.28.210,·······A····,66,31
2025-07-10T10:40:53.903Z,141.23.28.210,·······A····,1514,32
2025-07-10T10:40:53.903Z,141.23.28.210,·······AP···,1512,33
2025-07-10T10:40:53.906Z,141.23.28.212,·······A····,66,34
2025-07-10T10:40:53.909Z,141.23.28.212,·······AP···,118,35
2025-07-10T10:40:53.909Z,141.23.28.210,·······A····,66,36
2025-07-10T10:40:53.909Z,141.23.28.210,·······AP···,105,37
2025-07-10T10:40:53.919Z,141.23.28.212,·······AP···,124,38
2025-07-10T10:40:53.919Z,141.23.28.210,·······A····,66,39
2025-07-10T10:40:53.920Z,141.23.28.210,·······AP···,118,40
2025-07-10T10:40:53.922Z,141.23.28.212,·······AP···,105,41
2025-07-10T10:40:53.923Z,141.23.28.210,·······A····,66,42
2025-07-10T10:40:55.475Z,141.23.28.210,·······A····,1514,43
2025-07-10T10:40:55.475Z,141.23.28.210,·······A····,1514,44
2025-07-10T10:40:55.475Z,141.23.28.210,·······AP···,692,45
2025-07-10T10:40:55.478Z,141.23.28.212,·······A····,66,46
2025-07-10T10:40:55.482Z,141.23.28.212,·······AP···,118,47
2025-07-10T10:40:55.482Z,141.23.28.210,·······A····,66,48
2025-07-10T10:40:55.482Z,141.23.28.210,·······AP···,105,49
2025-07-10T10:40:55.496Z,141.23.28.212,·······AP···,124,50
2025-07-10T10:40:55.496Z,141.23.28.210,·······A····,66,51
2025-07-10T10:40:55.496Z,141.23.28.210,·······AP···,118,52
2025-07-10T10:40:55.497Z,141.23.28.212,·······AP···,105,53
2025-07-10T10:40:55.497Z,141.23.28.210,·······A····,66,54
2025-07-10T10:40:56.886Z,141.23.28.210,·······A····,1514,55
2025-07-10T10:40:56.886Z,141.23.28.210,·······A····,1514,56
2025-07-10T10:40:56.886Z,141.23.28.210,·······AP···,1213,57
2025-07-10T10:40:56.889Z,141.23.28.212,·······A····,66,58
2025-07-10T10:40:56.893Z,141.23.28.212,·······AP···,118,59
2025-07-10T10:40:56.893Z,141.23.28.210,·······A····,66,60
2025-07-10T10:40:56.893Z,141.23.28.210,·······AP···,105,61
2025-07-10T10:40:56.903Z,141.23.28.212,·······AP···,124,62
2025-07-10T10:40:56.903Z,141.23.28.210,·······A····,66,63
2025-07-10T10:40:56.904Z,141.23.28.210,·······AP···,118,64
2025-07-10T10:40:56.904Z,141.23.28.212,·······AP···,105,65
2025-07-10T10:40:56.904Z,141.23.28.210,·······A····,66,66
2025-07-10T10:40:58.808Z,141.23.28.210,·······A····,1514,67
2025-07-10T10:40:58.808Z,141.23.28.210,·······A····,1514,68
2025-07-10T10:40:58.808Z,141.23.28.210,·······A····,1514,69
2025-07-10T10:40:58.808Z,141.23.28.210,·······AP···,485,70
2025-07-10T10:40:58.811Z,141.23.28.212,·······A····,66,71
2025-07-10T10:40:58.814Z,141.23.28.212,·······AP···,118,72
2025-07-10T10:40:58.814Z,141.23.28.210,·······A····,66,73
2025-07-10T10:40:58.814Z,141.23.28.210,·······AP···,105,74
2025-07-10T10:40:58.827Z,141.23.28.212,·······AP···,124,75
2025-07-10T10:40:58.827Z,141.23.28.210,·······A····,66,76
2025-07-10T10:40:58.827Z,141.23.28.210,·······AP···,118,77
2025-07-10T10:40:58.827Z,141.23.28.212,·······AP···,105,78
2025-07-10T10:40:58.827Z,141.23.28.210,·······A····,66,79
2025-07-10T10:41:00.244Z,141.23.28.212,·······A····,66,80
2025-07-10T10:41:00.244Z,141.23.28.210,·······A····,66,81
2025-07-10T10:41:00.889Z,141.23.28.210,·······A····,1514,82
2025-07-10T10:41:00.889Z,141.23.28.210,·······A····,1514,83
2025-07-10T10:41:00.889Z,141.23.28.210,·······A····,1514,84
2025-07-10T10:41:00.889Z,141.23.28.210,·······AP···,1226,85
2025-07-10T10:41:00.892Z,141.23.28.212,·······A····,66,86
2025-07-10T10:41:00.896Z,141.23.28.212,·······AP···,118,87
2025-07-10T10:41:00.896Z,141.23.28.210,·······A····,66,88
2025-07-10T10:41:00.896Z,141.23.28.210,·······AP···,105,89
2025-07-10T10:41:00.907Z,141.23.28.212,·······AP···,124,90
2025-07-10T10:41:00.907Z,141.23.28.210,·······A····,66,91
2025-07-10T10:41:00.908Z,141.23.28.210,·······AP···,118,92
2025-07-10T10:41:00.908Z,141.23.28.212,·······AP···,105,93
2025-07-10T10:41:00.908Z,141.23.28.210,·······A····,66,94
2025-07-10T10:41:02.460Z,141.23.28.210,·······AP···,776,95
2025-07-10T10:41:02.461Z,141.23.28.212,·······AP···,118,96
2025-07-10T10:41:02.461Z,141.23.28.210,·······A····,66,97
2025-07-10T10:41:02.464Z,141.23.28.210,·······AP···,105,98
2025-07-10T10:41:02.466Z,141.23.28.212,·······AP···,124,99
2025-07-10T10:41:02.466Z,141.23.28.210,·······A····,66,100
2025-07-10T10:41:02.467Z,141.23.28.210,·······AP···,118,101
2025-07-10T10:41:02.468Z,141.23.28.212,·······AP···,105,102
2025-07-10T10:41:02.468Z,141.23.28.210,·······A····,66,103
2025-07-10T10:41:03.769Z,141.23.28.210,·······AP···,1491,104
2025-07-10T10:41:03.772Z,141.23.28.212,·······AP···,118,105
2025-07-10T10:41:03.772Z,141.23.28.210,·······A····,66,106
2025-07-10T10:41:03.772Z,141.23.28.210,·······AP···,105,107
2025-07-10T10:41:03.785Z,141.23.28.212,·······AP···,124,108
2025-07-10T10:41:03.785Z,141.23.28.210,·······A····,66,109
2025-07-10T10:41:03.786Z,141.23.28.210,·······AP···,118,110
2025-07-10T10:41:03.786Z,141.23.28.212,·······AP···,105,111
2025-07-10T10:41:03.786Z,141.23.28.210,·······A····,66,112
2025-07-10T10:41:04.486Z,141.23.28.210,·······A····,1514,113
2025-07-10T10:41:04.486Z,141.23.28.210,·······AP···,411,114
2025-07-10T10:41:04.488Z,141.23.28.212,·······A····,66,115
2025-07-10T10:41:04.490Z,141.23.28.212,·······AP···,118,116
2025-07-10T10:41:04.491Z,141.23.28.210,·······A····,66,117
2025-07-10T10:41:04.491Z,141.23.28.210,·······AP···,105,118
2025-07-10T10:41:04.501Z,141.23.28.212,·······AP···,124,119
2025-07-10T10:41:04.502Z,141.23.28.210,·······A····,66,120
2025-07-10T10:41:04.502Z,141.23.28.210,·······AP···,118,121
2025-07-10T10:41:04.503Z,141.23.28.212,·······AP···,105,122
2025-07-10T10:41:04.503Z,141.23.28.210,·······A····,66,123
2025-07-10T10:41:05.914Z,141.23.28.210,·······A····,1514,124
2025-07-10T10:41:05.914Z,141.23.28.210,·······AP···,1114,125
2025-07-10T10:41:05.916Z,141.23.28.212,·······A····,66,126
2025-07-10T10:41:05.919Z,141.23.28.212,·······AP···,118,127
2025-07-10T10:41:05.919Z,141.23.28.210,·······A····,66,128
2025-07-10T10:41:05.919Z,141.23.28.210,·······AP···,105,129
2025-07-10T10:41:05.930Z,141.23.28.212,·······AP···,124,130
2025-07-10T10:41:05.930Z,141.23.28.210,·······A····,66,131
2025-07-10T10:41:05.931Z,141.23.28.210,·······AP···,118,132
2025-07-10T10:41:05.931Z,141.23.28.212,·······AP···,105,133
2025-07-10T10:41:05.931Z,141.23.28.210,·······A····,66,134
2025-07-10T10:41:06.850Z,141.23.28.210,·······A····,1514,135
2025-07-10T10:41:06.850Z,141.23.28.210,·······AP···,1512,136
2025-07-10T10:41:06.852Z,141.23.28.212,·······A····,66,137
2025-07-10T10:41:06.856Z,141.23.28.212,·······AP···,118,138
2025-07-10T10:41:06.856Z,141.23.28.210,·······A····,66,139
2025-07-10T10:41:06.857Z,141.23.28.210,·······AP···,105,140
2025-07-10T10:41:06.870Z,141.23.28.212,·······AP···,124,141
2025-07-10T10:41:06.870Z,141.23.28.210,·······A····,66,142
2025-07-10T10:41:06.870Z,141.23.28.210,·······AP···,118,143
2025-07-10T10:41:06.871Z,141.23.28.212,·······AP···,105,144
2025-07-10T10:41:06.871Z,141.23.28.210,·······A····,66,145
2025-07-10T10:41:08.429Z,141.23.28.210,·······A····,1514,146
2025-07-10T10:41:08.429Z,141.23.28.210,·······A····,1514,147
2025-07-10T10:41:08.429Z,141.23.28.210,·······AP···,692,148
2025-07-10T10:41:08.431Z,141.23.28.212,·······A····,66,149
2025-07-10T10:41:08.434Z,141.23.28.212,·······AP···,118,150
2025-07-10T10:41:08.434Z,141.23.28.210,·······A····,66,151
2025-07-10T10:41:08.435Z,141.23.28.210,·······AP···,105,152
2025-07-10T10:41:08.447Z,141.23.28.212,·······AP···,124,153
2025-07-10T10:41:08.447Z,141.23.28.210,·······A····,66,154
2025-07-10T10:41:08.447Z,141.23.28.210,·······AP···,118,155
2025-07-10T10:41:08.448Z,141.23.28.212,·······AP···,105,156
157,53002
2025-07-10T10:41:08.448Z,141.23.28.210,·······A····,66,157
