timestamp,source_ip,type,bytes,packet_number
2025-07-10T13:07:09.494Z,141.23.28.212,·······A····,66,1
2025-07-10T13:07:09.494Z,141.23.28.210,·······A····,66,2
2025-07-10T13:07:12.208Z,141.23.28.210,·······A····,54,3
2025-07-10T13:07:12.209Z,141.23.28.212,·······A····,66,4
2025-07-10T13:07:12.309Z,141.23.28.212,·······A····,66,5
2025-07-10T13:07:12.310Z,141.23.28.210,·······A····,66,6
2025-07-10T13:07:14.648Z,141.23.28.212,·······AP···,929,7
2025-07-10T13:07:14.648Z,141.23.28.210,·······A····,66,8
2025-07-10T13:07:14.651Z,141.23.28.210,·······AP···,118,9
2025-07-10T13:07:14.651Z,141.23.28.212,·······A····,66,10
2025-07-10T13:07:14.651Z,141.23.28.212,·······AP···,105,11
2025-07-10T13:07:14.651Z,141.23.28.210,·······A····,66,12
2025-07-10T13:07:14.661Z,141.23.28.210,·······AP···,113,13
2025-07-10T13:07:14.661Z,141.23.28.210,·······AP···,99,14
2025-07-10T13:07:14.662Z,141.23.28.212,·······A····,66,15
2025-07-10T13:07:14.662Z,141.23.28.212,·······AP···,118,16
2025-07-10T13:07:14.662Z,141.23.28.210,·······A····,66,17
2025-07-10T13:07:14.662Z,141.23.28.210,·······AP···,105,18
2025-07-10T13:07:14.705Z,141.23.28.212,·······A····,66,19
2025-07-10T13:07:20.794Z,141.23.28.212,·······A····,1514,20
2025-07-10T13:07:20.794Z,141.23.28.212,·······AP···,176,21
2025-07-10T13:07:20.795Z,141.23.28.210,·······A····,66,22
2025-07-10T13:07:20.795Z,141.23.28.210,·······AP···,118,23
2025-07-10T13:07:20.795Z,141.23.28.212,·······A····,66,24
2025-07-10T13:07:20.795Z,141.23.28.212,·······AP···,105,25
2025-07-10T13:07:20.795Z,141.23.28.210,·······A····,66,26
2025-07-10T13:07:20.797Z,141.23.28.210,·······AP···,124,27
2025-07-10T13:07:20.797Z,141.23.28.212,·······AP···,118,28
2025-07-10T13:07:20.797Z,141.23.28.210,·······A····,66,29
2025-07-10T13:07:20.797Z,141.23.28.210,·······AP···,105,30
2025-07-10T13:07:20.842Z,141.23.28.212,·······A····,66,31
2025-07-10T13:07:24.494Z,141.23.28.210,·······A····,54,32
2025-07-10T13:07:24.495Z,141.23.28.212,·······A····,66,33
2025-07-10T13:07:24.597Z,141.23.28.212,·······A····,66,34
2025-07-10T13:07:24.598Z,141.23.28.210,·······A····,66,35
2025-07-10T13:07:28.633Z,141.23.28.212,·······A····,1514,36
2025-07-10T13:07:28.633Z,141.23.28.212,·······AP···,946,37
2025-07-10T13:07:28.633Z,141.23.28.210,·······A····,66,38
2025-07-10T13:07:28.634Z,141.23.28.210,·······AP···,118,39
2025-07-10T13:07:28.634Z,141.23.28.212,·······A····,66,40
2025-07-10T13:07:28.634Z,141.23.28.212,·······AP···,105,41
2025-07-10T13:07:28.634Z,141.23.28.210,·······A····,66,42
2025-07-10T13:07:28.637Z,141.23.28.210,·······AP···,124,43
2025-07-10T13:07:28.638Z,141.23.28.212,·······AP···,118,44
2025-07-10T13:07:28.638Z,141.23.28.210,·······A····,66,45
2025-07-10T13:07:28.638Z,141.23.28.210,·······AP···,105,46
2025-07-10T13:07:28.681Z,141.23.28.212,·······A····,66,47
2025-07-10T13:07:37.182Z,141.23.28.212,·······A····,1514,48
2025-07-10T13:07:37.183Z,141.23.28.212,·······A····,1514,49
2025-07-10T13:07:37.183Z,141.23.28.212,·······AP···,267,50
2025-07-10T13:07:37.183Z,141.23.28.210,·······A····,66,51
2025-07-10T13:07:37.183Z,141.23.28.210,·······AP···,118,52
2025-07-10T13:07:37.183Z,141.23.28.212,·······A····,66,53
2025-07-10T13:07:37.183Z,141.23.28.212,·······AP···,105,54
2025-07-10T13:07:37.183Z,141.23.28.210,·······A····,66,55
2025-07-10T13:07:37.184Z,141.23.28.210,·······AP···,124,56
2025-07-10T13:07:37.185Z,141.23.28.212,·······AP···,118,57
2025-07-10T13:07:37.185Z,141.23.28.210,·······A····,66,58
