timestamp,source_ip,type,bytes,packet_number
2025-07-10T13:39:42.713Z,141.23.28.212,·······A····,66,1
2025-07-10T13:39:42.714Z,141.23.28.210,·······A····,66,2
2025-07-10T13:39:52.135Z,141.23.28.212,·······AP···,929,3
2025-07-10T13:39:52.135Z,141.23.28.210,·······A····,66,4
2025-07-10T13:39:52.135Z,141.23.28.210,·······AP···,118,5
2025-07-10T13:39:52.136Z,141.23.28.212,·······A····,66,6
2025-07-10T13:39:52.136Z,141.23.28.212,·······AP···,105,7
2025-07-10T13:39:52.136Z,141.23.28.210,·······A····,66,8
2025-07-10T13:39:52.136Z,141.23.28.210,·······AP···,124,9
2025-07-10T13:39:52.137Z,141.23.28.212,·······AP···,118,10
2025-07-10T13:39:52.137Z,141.23.28.210,·······A····,66,11
2025-07-10T13:39:52.137Z,141.23.28.210,·······AP···,105,12
2025-07-10T13:39:52.181Z,141.23.28.212,·······A····,66,13
2025-07-10T13:39:57.715Z,141.23.28.210,·······A····,54,14
2025-07-10T13:39:57.716Z,141.23.28.212,·······A····,66,15
2025-07-10T13:39:57.817Z,141.23.28.212,·······A····,66,16
2025-07-10T13:39:57.817Z,141.23.28.210,·······A····,66,17
2025-07-10T13:39:58.093Z,141.23.28.212,·······A····,1514,18
2025-07-10T13:39:58.094Z,141.23.28.212,·······AP···,176,19
2025-07-10T13:39:58.094Z,141.23.28.210,·······A····,66,20
2025-07-10T13:39:58.094Z,141.23.28.210,·······AP···,118,21
2025-07-10T13:39:58.094Z,141.23.28.212,·······A····,66,22
2025-07-10T13:39:58.094Z,141.23.28.212,·······AP···,105,23
2025-07-10T13:39:58.094Z,141.23.28.210,·······A····,66,24
2025-07-10T13:39:58.096Z,141.23.28.210,·······AP···,124,25
2025-07-10T13:39:58.096Z,141.23.28.212,·······AP···,118,26
2025-07-10T13:39:58.096Z,141.23.28.210,·······A····,66,27
2025-07-10T13:39:58.097Z,141.23.28.210,·······AP···,105,28
2025-07-10T13:39:58.141Z,141.23.28.212,·······A····,66,29
2025-07-10T13:40:05.761Z,141.23.28.212,·······A····,1514,30
2025-07-10T13:40:05.761Z,141.23.28.212,·······AP···,946,31
2025-07-10T13:40:05.761Z,141.23.28.210,·······A····,66,32
2025-07-10T13:40:05.761Z,141.23.28.210,·······AP···,118,33
2025-07-10T13:40:05.761Z,141.23.28.212,·······A····,66,34
2025-07-10T13:40:05.762Z,141.23.28.212,·······AP···,105,35
2025-07-10T13:40:05.762Z,141.23.28.210,·······A····,66,36
2025-07-10T13:40:05.764Z,141.23.28.210,·······AP···,124,37
2025-07-10T13:40:05.765Z,141.23.28.212,·······AP···,118,38
2025-07-10T13:40:05.765Z,141.23.28.210,·······A····,66,39
2025-07-10T13:40:05.765Z,141.23.28.210,·······AP···,105,40
2025-07-10T13:40:05.809Z,141.23.28.212,·······A····,66,41
2025-07-10T13:40:12.818Z,141.23.28.210,·······A····,54,42
2025-07-10T13:40:12.819Z,141.23.28.212,·······A····,66,43
2025-07-10T13:40:12.921Z,141.23.28.212,·······A····,66,44
2025-07-10T13:40:12.921Z,141.23.28.210,·······A····,66,45
2025-07-10T13:40:14.184Z,141.23.28.212,·······A····,1514,46
2025-07-10T13:40:14.184Z,141.23.28.212,·······A····,1514,47
2025-07-10T13:40:14.184Z,141.23.28.212,·······AP···,267,48
2025-07-10T13:40:14.184Z,141.23.28.210,·······A····,66,49
2025-07-10T13:40:14.184Z,141.23.28.210,·······AP···,118,50
2025-07-10T13:40:14.185Z,141.23.28.212,·······A····,66,51
2025-07-10T13:40:14.185Z,141.23.28.212,·······AP···,105,52
2025-07-10T13:40:14.185Z,141.23.28.210,·······A····,66,53
2025-07-10T13:40:14.187Z,141.23.28.210,·······AP···,124,54
2025-07-10T13:40:14.188Z,141.23.28.212,·······AP···,118,55
2025-07-10T13:40:14.188Z,141.23.28.210,·······A····,66,56
2025-07-10T13:40:14.188Z,141.23.28.210,·······AP···,105,57
2025-07-10T13:40:14.233Z,141.23.28.212,·······A····,66,58
2025-07-10T13:40:19.786Z,141.23.28.212,·······A····,1514,59
2025-07-10T13:40:19.786Z,141.23.28.212,·······A····,1514,60
2025-07-10T13:40:19.786Z,141.23.28.212,·······AP···,721,61
2025-07-10T13:40:19.787Z,141.23.28.210,·······A····,66,62
2025-07-10T13:40:19.788Z,141.23.28.210,·······AP···,118,63
2025-07-10T13:40:19.788Z,141.23.28.212,·······A····,66,64
2025-07-10T13:40:19.789Z,141.23.28.212,·······AP···,105,65
2025-07-10T13:40:19.789Z,141.23.28.210,·······A····,66,66
2025-07-10T13:40:19.791Z,141.23.28.210,·······AP···,124,67
2025-07-10T13:40:19.791Z,141.23.28.212,·······AP···,118,68
2025-07-10T13:40:19.791Z,141.23.28.210,·······A····,66,69
2025-07-10T13:40:19.791Z,141.23.28.210,·······AP···,105,70
2025-07-10T13:40:19.832Z,141.23.28.212,·······A····,66,71
2025-07-10T13:40:27.921Z,141.23.28.210,·······A····,54,72
2025-07-10T13:40:27.922Z,141.23.28.212,·······A····,66,73
2025-07-10T13:40:28.024Z,141.23.28.212,·······A····,66,74
2025-07-10T13:40:28.025Z,141.23.28.210,·······A····,66,75
2025-07-10T13:40:29.649Z,141.23.28.212,·······A····,1514,76
2025-07-10T13:40:29.649Z,141.23.28.212,·······A····,1514,77
2025-07-10T13:40:29.649Z,141.23.28.212,·······AP···,1415,78
2025-07-10T13:40:29.649Z,141.23.28.210,·······A····,66,79
2025-07-10T13:40:29.649Z,141.23.28.210,·······AP···,118,80
2025-07-10T13:40:29.650Z,141.23.28.212,·······A····,66,81
2025-07-10T13:40:29.650Z,141.23.28.212,·······AP···,105,82
2025-07-10T13:40:29.650Z,141.23.28.210,·······A····,66,83
2025-07-10T13:40:29.652Z,141.23.28.210,·······AP···,124,84
2025-07-10T13:40:29.653Z,141.23.28.212,·······AP···,118,85
2025-07-10T13:40:29.653Z,141.23.28.210,·······A····,66,86
2025-07-10T13:40:29.653Z,141.23.28.210,·······AP···,105,87
2025-07-10T13:40:29.696Z,141.23.28.212,·······A····,66,88
2025-07-10T13:40:39.115Z,141.23.28.212,·······A····,1514,89
2025-07-10T13:40:39.115Z,141.23.28.212,·······A····,1514,90
2025-07-10T13:40:39.115Z,141.23.28.212,·······A····,1514,91
2025-07-10T13:40:39.115Z,141.23.28.212,·······AP···,595,92
2025-07-10T13:40:39.115Z,141.23.28.210,·······A····,66,93
2025-07-10T13:40:39.115Z,141.23.28.210,·······A····,66,94
2025-07-10T13:40:39.116Z,141.23.28.210,·······AP···,118,95
2025-07-10T13:40:39.116Z,141.23.28.212,·······A····,66,96
2025-07-10T13:40:39.116Z,141.23.28.212,·······AP···,105,97
2025-07-10T13:40:39.117Z,141.23.28.210,·······A····,66,98
2025-07-10T13:40:39.119Z,141.23.28.210,·······AP···,124,99
2025-07-10T13:40:39.120Z,141.23.28.212,·······AP···,118,100
2025-07-10T13:40:39.120Z,141.23.28.210,·······A····,66,101
2025-07-10T13:40:39.120Z,141.23.28.210,·······AP···,105,102
2025-07-10T13:40:39.164Z,141.23.28.212,·······A····,66,103
2025-07-10T13:40:43.025Z,141.23.28.210,·······A····,54,104
2025-07-10T13:40:43.026Z,141.23.28.212,·······A····,66,105
2025-07-10T13:40:43.128Z,141.23.28.212,·······A····,66,106
2025-07-10T13:40:43.129Z,141.23.28.210,·······A····,66,107
2025-07-10T13:40:50.807Z,141.23.28.212,·······A····,1514,108
2025-07-10T13:40:50.807Z,141.23.28.212,·······A····,1514,109
2025-07-10T13:40:50.807Z,141.23.28.212,·······A····,1514,110
2025-07-10T13:40:50.807Z,141.23.28.212,·······AP···,1406,111
2025-07-10T13:40:50.807Z,141.23.28.210,·······A····,66,112
2025-07-10T13:40:50.807Z,141.23.28.210,·······A····,66,113
2025-07-10T13:40:50.807Z,141.23.28.210,·······AP···,118,114
2025-07-10T13:40:50.808Z,141.23.28.212,·······A····,66,115
2025-07-10T13:40:50.808Z,141.23.28.212,·······AP···,105,116
2025-07-10T13:40:50.808Z,141.23.28.210,·······A····,66,117
2025-07-10T13:40:50.811Z,141.23.28.210,·······AP···,124,118
2025-07-10T13:40:50.811Z,141.23.28.212,·······AP···,118,119
2025-07-10T13:40:50.812Z,141.23.28.210,·······A····,66,120
2025-07-10T13:40:50.812Z,141.23.28.210,·······AP···,105,121
2025-07-10T13:40:50.856Z,141.23.28.212,·······A····,66,122
2025-07-10T13:40:58.129Z,141.23.28.210,·······A····,54,123
2025-07-10T13:40:58.130Z,141.23.28.212,·······A····,66,124
2025-07-10T13:40:58.232Z,141.23.28.212,·······A····,66,125
2025-07-10T13:40:58.232Z,141.23.28.210,·······A····,66,126
2025-07-10T13:41:03.585Z,141.23.28.212,·······A····,1514,127
2025-07-10T13:41:03.586Z,141.23.28.212,·······A····,1514,128
2025-07-10T13:41:03.586Z,141.23.28.212,·······A····,1514,129
2025-07-10T13:41:03.586Z,141.23.28.212,·······A····,1514,130
2025-07-10T13:41:03.586Z,141.23.28.212,·······AP···,735,131
2025-07-10T13:41:03.586Z,141.23.28.210,·······A····,66,132
2025-07-10T13:41:03.586Z,141.23.28.210,·······A····,66,133
2025-07-10T13:41:03.586Z,141.23.28.210,·······AP···,118,134
2025-07-10T13:41:03.586Z,141.23.28.212,·······A····,66,135
2025-07-10T13:41:03.587Z,141.23.28.212,·······AP···,105,136
2025-07-10T13:41:03.587Z,141.23.28.210,·······A····,66,137
2025-07-10T13:41:03.589Z,141.23.28.210,·······AP···,124,138
2025-07-10T13:41:03.590Z,141.23.28.212,·······AP···,118,139
2025-07-10T13:41:03.590Z,141.23.28.210,·······A····,66,140
2025-07-10T13:41:03.590Z,141.23.28.210,·······AP···,105,141
2025-07-10T13:41:03.632Z,141.23.28.212,·······A····,66,142
2025-07-10T13:41:10.695Z,141.23.28.212,·······AP···,929,143
2025-07-10T13:41:10.695Z,141.23.28.210,·······A····,66,144
2025-07-10T13:41:10.695Z,141.23.28.210,·······AP···,118,145
2025-07-10T13:41:10.695Z,141.23.28.212,·······A····,66,146
2025-07-10T13:41:10.696Z,141.23.28.212,·······AP···,105,147
2025-07-10T13:41:10.696Z,141.23.28.210,·······A····,66,148
2025-07-10T13:41:10.696Z,141.23.28.210,·······AP···,124,149
2025-07-10T13:41:10.697Z,141.23.28.212,·······AP···,118,150
2025-07-10T13:41:10.697Z,141.23.28.210,·······A····,66,151
2025-07-10T13:41:10.697Z,141.23.28.210,·······AP···,105,152
2025-07-10T13:41:10.740Z,141.23.28.212,·······A····,66,153
2025-07-10T13:41:13.232Z,141.23.28.210,·······A····,54,154
2025-07-10T13:41:13.233Z,141.23.28.212,·······A····,66,155
2025-07-10T13:41:13.336Z,141.23.28.212,·······A····,66,156
2025-07-10T13:41:13.336Z,141.23.28.210,·······A····,66,157
2025-07-10T13:41:16.818Z,141.23.28.212,·······A····,1514,158
2025-07-10T13:41:16.818Z,141.23.28.212,·······AP···,176,159
2025-07-10T13:41:16.818Z,141.23.28.210,·······A····,66,160
2025-07-10T13:41:16.819Z,141.23.28.210,·······AP···,118,161
2025-07-10T13:41:16.819Z,141.23.28.212,·······A····,66,162
2025-07-10T13:41:16.819Z,141.23.28.212,·······AP···,105,163
2025-07-10T13:41:16.819Z,141.23.28.210,·······A····,66,164
2025-07-10T13:41:16.820Z,141.23.28.210,·······AP···,124,165
2025-07-10T13:41:16.821Z,141.23.28.212,·······AP···,118,166
2025-07-10T13:41:16.821Z,141.23.28.210,·······A····,66,167
2025-07-10T13:41:16.821Z,141.23.28.210,·······AP···,105,168
2025-07-10T13:41:16.864Z,141.23.28.212,·······A····,66,169
2025-07-10T13:41:24.723Z,141.23.28.212,·······A····,1514,170
2025-07-10T13:41:24.723Z,141.23.28.212,·······AP···,946,171
2025-07-10T13:41:24.723Z,141.23.28.210,·······A····,66,172
2025-07-10T13:41:24.724Z,141.23.28.210,·······AP···,118,173
2025-07-10T13:41:24.724Z,141.23.28.212,·······A····,66,174
2025-07-10T13:41:24.724Z,141.23.28.212,·······AP···,105,175
2025-07-10T13:41:24.724Z,141.23.28.210,·······A····,66,176
2025-07-10T13:41:24.726Z,141.23.28.210,·······AP···,124,177
2025-07-10T13:41:24.727Z,141.23.28.212,·······AP···,118,178
2025-07-10T13:41:24.727Z,141.23.28.210,·······A····,66,179
2025-07-10T13:41:24.727Z,141.23.28.210,·······AP···,105,180
2025-07-10T13:41:24.771Z,141.23.28.212,·······A····,66,181
2025-07-10T13:41:28.337Z,141.23.28.210,·······A····,54,182
2025-07-10T13:41:28.337Z,141.23.28.212,·······A····,66,183
